site_code,year,game_num,opponent_code,spread,ou,line_result,ou_result,home_away,team_score,opp_score,game_result
atl,2000,1,SFO,-7,47,W,Over,H,36,28,W
atl,2000,2,DEN,5,47,L,Over,A,14,42,L
atl,2000,3,CAR,6,49,W,Under,A,15,10,W
atl,2000,4,STL,7,55,L,Over,H,20,41,L
atl,2000,5,PHI,3,42,L,Over,A,10,38,L
atl,2000,6,NYG,-1,42,L,Under,H,6,13,L
atl,2000,7,STL,18,59,W,Over,A,29,45,L
atl,2000,8,NOR,2,40,L,Push,H,19,21,L
atl,2000,9,CAR,3,46,W,Under,H,13,12,W
atl,2000,10,TAM,7,40,L,Over,H,14,27,L
atl,2000,11,DET,9,40,W,Under,A,10,13,L
atl,2000,12,SFO,6,48,L,Under,A,6,16,L
atl,2000,13,OAK,11,44,L,Over,A,14,41,L
atl,2000,14,SEA,0,42,L,Under,H,10,30,L
atl,2000,15,NOR,10,41,L,Under,A,7,23,L
atl,2000,16,KAN,5,41,W,Over,H,29,13,W
atl,2001,1,SFO,4,46,W,Under,A,13,16,L
atl,2001,2,CAR,-4,41,W,Under,H,24,16,W
atl,2001,3,ARI,-3,42,W,Over,A,34,14,W
atl,2001,4,CHI,-4,40,L,Under,H,3,31,L
atl,2001,5,SFO,3,44,L,Over,H,31,37,L
atl,2001,6,NOR,8,42,W,Under,A,20,13,W
atl,2001,7,NWE,-3,43,L,Under,H,10,24,L
atl,2001,8,DAL,-6,37,W,Under,H,20,13,W
atl,2001,9,GNB,10,40,W,Over,A,23,20,W
atl,2001,10,CAR,-3,40,P,Under,A,10,7,W
atl,2001,11,STL,8,47,L,Under,H,6,35,L
atl,2001,12,NOR,3,39,L,Under,H,10,28,L
atl,2001,13,IND,4,47,L,Over,A,27,41,L
atl,2001,14,BUF,-4,41,L,Over,H,33,30,W
atl,2001,15,MIA,7,39,P,Under,A,14,21,L
atl,2001,16,STL,15,48,L,Under,A,13,31,L
atl,2002,1,GNB,7,43,W,Over,A,34,37,L
atl,2002,2,CHI,-3,45,L,Under,H,13,14,L
atl,2002,3,CIN,-7,43,W,Under,H,30,3,W
atl,2002,4,TAM,-3,39,L,Under,H,6,20,L
atl,2002,5,NYG,6,36,W,Under,A,17,10,W
atl,2002,6,CAR,-4,36,W,Under,H,30,0,W
atl,2002,7,NOR,4,47,W,Over,A,37,35,W
atl,2002,8,BAL,-7,41,L,Under,H,20,17,W
atl,2002,9,PIT,6,43,W,Over,A,34,34,T
atl,2002,10,NOR,-2,51,W,Under,H,24,17,W
atl,2002,11,CAR,-4,37,W,Over,A,41,0,W
atl,2002,12,MIN,-4,48,W,Over,A,30,24,W
atl,2002,13,TAM,4,37,L,Over,A,10,34,L
atl,2002,14,SEA,-10,46,L,Over,H,24,30,L
atl,2002,15,DET,-11,44,W,Over,H,36,15,W
atl,2002,16,CLE,-3,41,L,Under,A,16,24,L
atl,2002,17,GNB,7,41,W,Under,A,27,7,W
atl,2002,18,PHI,8,39,L,Under,A,6,20,L
atl,2003,1,DAL,2,37,W,Over,A,27,13,W
atl,2003,2,WAS,-3,40,L,Over,H,31,33,L
atl,2003,3,TAM,7,36,L,Over,H,10,31,L
atl,2003,4,CAR,6,36,L,Under,A,3,23,L
atl,2003,5,MIN,5,44,L,Over,H,26,39,L
atl,2003,6,STL,10,46,L,Under,A,0,36,L
atl,2003,7,NOR,3,42,L,Over,H,17,45,L
atl,2003,8,PHI,6,40,L,Under,H,16,23,L
atl,2003,9,NYG,12,41,W,Under,A,27,7,W
atl,2003,10,NOR,9,44,W,Under,A,20,23,L
atl,2003,11,TEN,7,44,L,Over,H,31,38,L
atl,2003,12,HOU,3,43,L,Under,A,13,17,L
atl,2003,13,CAR,1,41,W,Under,H,20,14,W
atl,2003,14,IND,8,48,L,Under,A,7,38,L
atl,2003,15,TAM,7,39,W,Over,A,30,28,W
atl,2003,16,JAX,-3,44,W,Under,H,21,14,W
atl,2004,1,SFO,-3,45,L,Under,A,21,19,W
atl,2004,2,STL,-2,46,W,Over,H,34,17,W
atl,2004,3,ARI,-11,44,L,Under,H,6,3,W
atl,2004,4,CAR,4,39,W,Under,A,27,10,W
atl,2004,5,DET,-7,41,L,Under,H,10,17,L
atl,2004,6,SDG,-6,43,L,Under,H,21,20,W
atl,2004,7,KAN,4,45,L,Over,A,10,56,L
atl,2004,8,DEN,7,40,W,Over,A,41,28,W
atl,2004,9,TAM,-4,41,W,Under,H,24,14,W
atl,2004,10,NYG,-3,40,W,Under,A,14,10,W
atl,2004,11,NOR,-9,48,L,Under,H,24,21,W
atl,2004,12,TAM,2,40,L,Under,A,0,27,L
atl,2004,13,OAK,-8,46,W,Under,H,35,10,W
atl,2004,14,CAR,-4,41,L,Over,H,34,31,W
atl,2004,15,NOR,7,44,L,Under,A,13,26,L
atl,2004,16,SEA,6,41,W,Over,A,26,28,L
atl,2004,17,STL,-7,49,W,Over,H,47,17,W
atl,2004,18,PHI,6,37,L,Push,A,10,27,L
atl,2005,1,PHI,2,42,W,Under,H,14,10,W
atl,2005,2,SEA,1,42,L,Under,A,18,21,L
atl,2005,3,BUF,3,36,W,Over,A,24,16,W
atl,2005,4,MIN,-6,45,W,Under,H,30,10,W
atl,2005,5,NWE,-3,44,L,Over,H,28,31,L
atl,2005,6,NOR,-4,42,L,Over,A,34,31,W
atl,2005,7,NYJ,-8,41,W,Push,H,27,14,W
atl,2005,8,MIA,-2,40,W,Under,A,17,10,W
atl,2005,9,GNB,-10,42,L,Over,H,25,33,L
atl,2005,10,TAM,-6,38,L,Over,H,27,30,L
atl,2005,11,DET,-3,41,W,Under,A,27,7,W
atl,2005,12,CAR,3,44,L,Under,A,6,24,L
atl,2005,13,NOR,-10,44,W,Over,H,36,17,W
atl,2005,14,CHI,3,31,L,Under,A,3,16,L
atl,2005,15,TAM,3,38,P,Over,A,24,27,L
atl,2005,16,CAR,4,42,L,Over,H,11,44,L
atl,2006,1,CAR,5,39,W,Under,A,20,6,W
atl,2006,2,TAM,-5,36,W,Under,H,14,3,W
atl,2006,3,NOR,-4,45,L,Under,A,3,23,L
atl,2006,4,ARI,-8,42,W,Push,H,32,10,W
atl,2006,5,NYG,-3,42,L,Under,H,14,27,L
atl,2006,6,PIT,3,39,W,Over,H,41,38,W
atl,2006,7,CIN,5,47,W,Over,A,29,27,W
atl,2006,8,DET,5,47,L,Under,A,14,30,L
atl,2006,9,CLE,-8,42,L,Under,H,13,17,L
atl,2006,10,BAL,4,42,L,Under,A,10,24,L
atl,2006,11,NOR,-3,48,L,Under,H,13,31,L
atl,2006,12,WAS,2,39,W,Under,A,24,14,W
atl,2006,13,TAM,-3,38,W,Under,A,17,6,W
atl,2006,14,DAL,4,45,L,Over,H,28,38,L
atl,2006,15,CAR,-6,41,L,Under,H,3,10,L
atl,2006,16,PHI,9,43,W,Under,A,17,24,L
atl,2007,1,MIN,3,36,L,Under,A,3,24,L
atl,2007,2,JAX,10,35,W,Under,A,7,13,L
atl,2007,3,CAR,4,39,L,Over,H,20,27,L
atl,2007,4,HOU,3,40,W,Over,H,26,16,W
atl,2007,5,TEN,8,41,W,Under,A,13,20,L
atl,2007,6,NYG,6,44,L,Under,H,10,31,L
atl,2007,7,NOR,8,42,W,Under,A,16,22,L
atl,2007,8,SFO,-4,37,W,Under,H,20,16,W
atl,2007,9,CAR,4,36,W,Under,A,20,13,W
atl,2007,10,TAM,3,36,L,Over,H,7,31,L
atl,2007,11,IND,14,43,L,Over,H,13,31,L
atl,2007,12,STL,3,40,L,Over,A,16,28,L
atl,2007,13,NOR,5,44,L,Over,H,14,34,L
atl,2007,14,TAM,13,38,L,Over,A,3,37,L
atl,2007,15,ARI,11,44,W,Over,A,27,30,L
atl,2007,16,SEA,2,39,W,Over,H,44,41,W
atl,2008,1,DET,3,41,W,Over,H,34,21,W
atl,2008,2,TAM,7,38,L,Under,A,9,24,L
atl,2008,3,KAN,-7,37,W,Over,H,38,14,W
atl,2008,4,CAR,7,39,L,Under,A,9,24,L
atl,2008,5,GNB,5,43,W,Over,A,27,24,W
atl,2008,6,CHI,3,44,W,Under,H,22,20,W
atl,2008,7,PHI,10,45,L,Under,A,14,27,L
atl,2008,8,OAK,-3,42,W,Under,A,24,0,W
atl,2008,9,NOR,-2,51,W,Over,H,34,20,W
atl,2008,10,DEN,-7,52,L,Under,H,20,24,L
atl,2008,11,CAR,-1,42,W,Over,H,45,28,W
atl,2008,12,SDG,7,48,W,Under,A,22,16,W
atl,2008,13,NOR,3,52,L,Over,A,25,29,L
atl,2008,14,TAM,-5,44,L,Under,H,13,10,W
atl,2008,15,MIN,3,44,W,Under,A,24,17,W
atl,2008,16,STL,-14,45,L,Over,H,31,27,W
atl,2008,17,ARI,2,52,L,Over,A,24,30,L
atl,2009,1,MIA,-4,45,W,Under,H,19,7,W
atl,2009,2,CAR,-6,44,W,Over,H,28,20,W
atl,2009,3,NWE,5,46,L,Under,A,10,26,L
atl,2009,4,SFO,1,40,W,Over,A,45,10,W
atl,2009,5,CHI,-4,46,W,Under,H,21,14,W
atl,2009,6,DAL,5,48,L,Over,A,21,37,L
atl,2009,7,NOR,12,56,W,Over,A,27,35,L
atl,2009,8,WAS,-9,41,W,Over,H,31,17,W
atl,2009,9,CAR,-1,44,L,Over,A,19,28,L
atl,2009,10,NYG,7,47,W,Over,A,31,34,L
atl,2009,11,TAM,-13,46,L,Under,H,20,17,W
atl,2009,12,PHI,4,44,L,Under,H,7,34,L
atl,2009,13,NOR,10,50,W,Under,H,23,26,L
atl,2009,14,NYJ,7,36,W,Under,A,10,7,W
atl,2009,15,BUF,-8,40,W,Under,H,31,3,W
atl,2009,16,TAM,-3,42,W,Under,A,20,10,W
atl,2010,1,PIT,-2,40,L,Under,A,9,15,L
atl,2010,2,ARI,-7,44,W,Over,H,41,7,W
atl,2010,3,NOR,3,50,W,Over,A,27,24,W
atl,2010,4,SFO,-7,43,L,Under,H,16,14,W
atl,2010,5,CLE,-3,42,W,Under,A,20,10,W
atl,2010,6,PHI,2,43,L,Over,A,17,31,L
atl,2010,7,CIN,-4,43,W,Over,H,39,32,W
atl,2010,8,TAM,-9,46,L,Over,H,27,21,W
atl,2010,9,BAL,-1,44,W,Over,H,26,21,W
atl,2010,10,STL,-4,44,W,Over,A,34,17,W
atl,2010,11,GNB,-2,48,W,Under,H,20,17,W
atl,2010,12,TAM,-3,44,W,Over,A,28,24,W
atl,2010,13,CAR,-8,41,W,Push,A,31,10,W
atl,2010,14,SEA,-6,47,W,Over,A,34,18,W
atl,2010,15,NOR,-3,50,L,Under,H,14,17,L
atl,2010,16,CAR,-15,42,W,Under,H,31,10,W
atl,2010,17,GNB,-2,44,L,Over,H,21,48,L
atl,2011,1,CHI,-2,41,L,Over,A,12,30,L
atl,2011,2,PHI,3,50,W,Over,H,35,31,W
atl,2011,3,TAM,1,45,L,Under,A,13,16,L
atl,2011,4,SEA,-6,39,L,Over,A,30,28,W
atl,2011,5,GNB,7,53,L,Under,H,14,25,L
